Region,Active_Private_Special,Active_Private_NotSpecial,Active_Public_Special,Active_Public_NotSpecial,DeActive_Private_Special,DeActive_Private_NotSpecial,DeActive_Public_Special,DeActive_Public_NotSpecial
South Asia,97,364,166,526,0,1,0,1
East Asia and Pacific,722,2287,220,1598,0,11,0,1
Middle East and North Africa,157,326,92,534,0,0,0,0
Latin America and Caribbean,408,1583,289,620,0,5,0,1
Europe and Central Asia,509,936,545,2680,1,8,5,10
North America,135,774,32,680,10,2,0,0
Sub-Saharan Africa,283,491,134,411,1,1,0,2
